Date,GS
2014-01-29,131.4676513671875
2014-01-30,133.0237579345703
2014-01-31,131.64414978027344
2014-02-03,128.19503784179688
2014-02-04,129.75111389160156
2014-02-05,128.6763153076172
2014-02-06,129.7431640625
2014-02-07,129.8874969482422
2014-02-10,129.1414794921875
2014-02-11,131.86070251464844
2014-02-12,131.1468048095703
2014-02-13,131.59600830078125
2014-02-14,131.32327270507812
2014-02-18,132.0692138671875
2014-02-19,130.95433044433594
2014-02-20,131.94891357421875
2014-02-21,131.94891357421875
2014-02-24,133.58523559570312
2014-02-25,131.13075256347656
2014-02-26,131.0261688232422
2014-02-27,133.1026153564453
2014-02-28,133.9637451171875
2014-03-03,132.58750915527344
2014-03-04,135.7987823486328
2014-03-05,138.35006713867188
2014-03-06,138.9134521484375
2014-03-07,140.2494659423828
2014-03-10,139.64585876464844
2014-03-11,136.73243713378906
2014-03-12,136.59555053710938
2014-03-13,134.16494750976562
2014-03-14,133.0784149169922
2014-03-17,134.2776641845703
2014-03-18,135.28369140625
2014-03-19,135.35609436035156
2014-03-20,136.1931610107422
2014-03-21,134.36611938476562
2014-03-24,133.3762664794922
2014-03-25,131.38832092285156
2014-03-26,130.16494750976562
2014-03-27,130.6156463623047
2014-03-28,130.6237335205078
2014-03-31,131.87124633789062
2014-04-01,133.5371856689453
2014-04-02,134.6237030029297
2014-04-03,133.6739959716797
2014-04-04,131.38027954101562
2014-04-07,127.61360931396484
2014-04-08,126.00397491455078
2014-04-09,127.29174041748047
2014-04-10,125.53719329833984
2014-04-11,122.91345977783203
2014-04-14,124.53923034667969
2014-04-15,124.68406677246094
2014-04-16,126.53522491455078
2014-04-17,126.71223449707031
2014-04-21,127.00199890136719
2014-04-22,129.1428680419922
2014-04-23,129.1348419189453
2014-04-24,129.4567413330078
2014-04-25,127.35613250732422
2014-04-28,125.98783874511719
2014-04-29,127.35613250732422
2014-04-30,128.6277618408203
2014-05-01,129.07041931152344
2014-05-02,127.87120056152344
2014-05-05,125.83501434326172
2014-05-06,124.37820434570312
2014-05-07,125.1670150756836
2014-05-08,126.68003845214844
2014-05-09,126.51909637451172
2014-05-12,128.41041564941406
2014-05-13,128.99794006347656
2014-05-14,128.32997131347656
2014-05-15,126.06832885742188
2014-05-16,125.89936065673828
2014-05-19,126.8973388671875
2014-05-20,125.83501434326172
2014-05-21,128.24949645996094
2014-05-22,128.6519317626953
2014-05-23,128.9014129638672
2014-05-27,130.19717407226562
2014-05-28,130.1729736328125
2014-05-29,129.8094940185547
2014-05-30,129.05845642089844
2014-06-02,129.23623657226562
2014-06-03,130.66558837890625
2014-06-04,131.14199829101562
2014-06-05,131.29544067382812
2014-06-06,134.2108154296875
2014-06-09,134.057373046875
2014-06-10,134.34812927246094
2014-06-11,133.59703063964844
2014-06-12,134.02500915527344
2014-06-13,133.96853637695312
2014-06-16,133.93624877929688
2014-06-17,135.85018920898438
2014-06-18,137.1746063232422
2014-06-19,137.0696258544922
2014-06-20,137.15846252441406
2014-06-23,137.4815216064453
2014-06-24,135.85826110839844
2014-06-25,135.97940063476562
2014-06-26,135.6805877685547
2014-06-27,134.6873016357422
2014-06-30,135.2202911376953
2014-07-01,134.71151733398438
2014-07-02,134.77609252929688
2014-07-03,136.8515625
2014-07-07,135.49484252929688
2014-07-08,133.17718505859375
2014-07-09,132.98330688476562
2014-07-10,131.9738311767578
2014-07-11,133.0883026123047
2014-07-14,134.86497497558594
